uid,sex,age,"langs"
146427020,2,17,"Русский,Deutsch"
201726020,1,,""
150690020,2,16,""
146057653,1,,""
146032414,2,26,""
145967298,1,,""
145483659,2,,""
145471248,1,,""
145410149,1,41,"Русский,Deutsch"
144792985,1,14,""
144689751,1,17,"Русский,Français"
144449596,1,18,""
144392537,1,,""
273090537,1,16,""
144345778,2,,""
181973778,2,51,""
144193257,2,29,""
144096671,2,,""
143874943,2,,""
